package,in_degree,betweenness,eigenvector,kcore,predicted_risk
apache-airflow-providers-microsoft-azure,2,0.0,0.0012926139046772255,2,0.008128846068425507
hyperframe,2,0.0,0.001257456704661394,2,0.008113025328418382
flask-sqlalchemy,2,0.0,0.0011921110901507758,2,0.008083619801888604
wtforms,2,0.0,0.0011921110901507758,2,0.008083619801888604
flask-login,2,0.0,0.0011921110901507758,2,0.008083619801888604
anki,0,0.001544005141094941,0.0167414679171743,5,0.008074062362111665
apache-airflow-providers-trino,2,0.0,0.0007785591231225986,2,0.007897521416725924
apache-airflow-providers-vertica,2,0.0,0.0007785591231225986,2,0.007897521416725924
apache-airflow-providers-presto,2,0.0,0.0007785591231225986,2,0.007897521416725924
fido2,2,1.87621581690357e-05,0.0006679268604772441,2,0.007854303653894678
llama-index-embeddings-openai,2,0.0,0.0004083409773136497,2,0.0077309232511118976
llama-index-llms-openai,2,0.0,0.0004083409773136497,2,0.0077309232511118976
scapy,0,0.0014034817867906435,0.015044393419768399,6,0.007261195664272505
ibm-watsonx-ai,1,0.0,0.007629796139846422,1,0.007206993168591268
yfinance,1,0.0,0.007629796139846422,1,0.007206993168591268
a2a-sdk,1,0.0,0.007629796139846422,1,0.007206993168591268
youtube_transcript_api,1,0.0,0.007629796139846422,1,0.007206993168591268
neo4j,1,0.0,0.007629796139846422,1,0.007206993168591268
pygithub,1,0.0,0.007629796139846422,1,0.007206993168591268
newspaper4k,1,0.0,0.007629796139846422,1,0.007206993168591268
ag-ui-protocol,1,0.0,0.007629796139846422,1,0.007206993168591268
email_validator,1,0.0,0.007629796139846422,1,0.007206993168591268
todoist-api-python,1,0.0,0.007629796139846422,1,0.007206993168591268
webexpythonsdk,1,0.0,0.007629796139846422,1,0.007206993168591268
surrealdb,1,0.0,0.007629796139846422,1,0.007206993168591268
azure-ai-inference,1,0.0,0.007629796139846422,1,0.007206993168591268
agno-infra,1,0.0,0.007629796139846422,1,0.007206993168591268
exa_py,1,0.0,0.007629796139846422,1,0.007206993168591268
llama-api-client,1,0.0,0.007629796139846422,1,0.007206993168591268
cerebras-cloud-sdk,1,0.0,0.007629796139846422,1,0.007206993168591268
elevenlabs,1,0.0,0.007629796139846422,1,0.007206993168591268
aioboto3,1,0.0,0.007629796139846422,1,0.007206993168591268
fal_client,1,0.0,0.007629796139846422,1,0.007206993168591268
notion-client,1,0.0,0.007629796139846422,1,0.007206993168591268
scrapegraph-py,1,0.0,0.007629796139846422,1,0.007206993168591268
zep-cloud,1,0.0,0.007629796139846422,1,0.007206993168591268
atlassian-python-api,1,0.0,0.007629796139846422,1,0.007206993168591268
infinity_client,1,0.0,0.007629796139846422,1,0.007206993168591268
cassio,1,0.0,0.007629796139846422,1,0.007206993168591268
parallel-web,1,0.0,0.007629796139846422,1,0.007206993168591268
langfuse,1,0.0,0.007629796139846422,1,0.007206993168591268
lmstudio,1,0.0,0.007629796139846422,1,0.007206993168591268
portkey-ai,1,0.0,0.007629796139846422,1,0.007206993168591268
upstash-vector,1,0.0,0.007629796139846422,1,0.007206993168591268
memorisdk,1,0.0,0.007629796139846422,1,0.007206993168591268
valyu,1,0.0,0.007629796139846422,1,0.007206993168591268
trafilatura,1,0.0,0.007629796139846422,1,0.007206993168591268
arize-phoenix,1,0.0,0.007629796139846422,1,0.007206993168591268
tantivy,1,0.0,0.007629796139846422,1,0.007206993168591268
cartesia,1,0.0,0.007629796139846422,1,0.007206993168591268
daytona,1,0.0,0.007629796139846422,1,0.007206993168591268
agentql,1,0.0,0.007629796139846422,1,0.007206993168591268
brave-search,1,0.0,0.007629796139846422,1,0.007206993168591268
web3,1,0.0,0.007629796139846422,1,0.007206993168591268
googlemaps,1,0.0,0.007629796139846422,1,0.007206993168591268
google-maps-places,1,0.0,0.007629796139846422,1,0.007206993168591268
tavily-python,1,0.0,0.007629796139846422,1,0.007206993168591268
rapidocr_onnxruntime,1,0.0,0.007629796139846422,1,0.007206993168591268
cohere,1,0.0,0.007629796139846422,1,0.007206993168591268
google-cloud-firestore,1,0.0,0.007629796139846422,1,0.007206993168591268
browserbase,1,0.0,0.007629796139846422,1,0.007206993168591268
apify-client,1,0.0,0.007629796139846422,1,0.007206993168591268
arxiv,1,0.0,0.007629796139846422,1,0.007206993168591268
types-aiofiles,1,0.0,0.007629796139846422,1,0.007206993168591268
chonkie,1,0.0,0.007629796139846422,1,0.007206993168591268
weave,1,0.0,0.007629796139846422,1,0.007206993168591268
opentelemetry-exporter-otlp-proto-grpc,1,0.0,0.007629796139846422,1,0.007206993168591268
oxylabs,1,0.0,0.007629796139846422,1,0.007206993168591268
openlit,1,0.0,0.007629796139846422,1,0.007206993168591268
pylance,1,0.0,0.007629796139846422,1,0.007206993168591268
mistralai,1,0.0,0.007629796139846422,1,0.007206993168591268
inquirer,1,0.0,0.007629796139846422,1,0.007206993168591268
mypy-boto3-s3,1,0.0,0.006977168392098744,1,0.0069133106821048125
mypy-boto3-appflow,1,0.0,0.006977168392098744,1,0.0069133106821048125
fabric,1,0.0,0.006977168392098744,1,0.0069133106821048125
stopit,1,0.0,0.006977168392098744,1,0.0069133106821048125
sagemaker-experiments,1,0.0,0.006977168392098744,1,0.0069133106821048125
lexicon,1,0.0,0.006977168392098744,1,0.0069133106821048125
sagemaker-core,1,0.0,0.006977168392098744,1,0.0069133106821048125
tritonclient,1,0.0,0.006977168392098744,1,0.0069133106821048125
pathos,1,0.0,0.006977168392098744,1,0.0069133106821048125
mypy-boto3-redshift-data,1,0.0,0.006977168392098744,1,0.0069133106821048125
mypy-boto3-rds,1,0.0,0.006977168392098744,1,0.0069133106821048125
google-pasta,1,0.0,0.006977168392098744,1,0.0069133106821048125
sagemaker-feature-store-pyspark-3-3,1,0.0,0.006977168392098744,1,0.0069133106821048125
tblib,1,0.0,0.006977168392098744,1,0.0069133106821048125
sagemaker-mlflow,1,0.0,0.006977168392098744,1,0.0069133106821048125
sagemaker-schema-inference-artifacts,1,0.0,0.006977168392098744,1,0.0069133106821048125
pyvis,1,0.0,0.006977168392098744,1,0.0069133106821048125
smdebug-rulesconfig,1,0.0,0.006977168392098744,1,0.0069133106821048125
contextlib2,1,0.0,0.006977168392098744,1,0.0069133106821048125
